ctid,tract_name,requests,median_days_to_close,equity_score,stratum,nei_name
5050023.02,0023.02,241,244.0,78.7,Urban,Central Park
5050170.04,0170.04,165,141.0,78.7,Suburban,Queenswood Heights-Kinsella Park
5050170.11,0170.11,117,224.0,79.0,Suburban,Fallingbrook-Ridgenount
5050171.05,0171.05,411,205.0,79.1,Suburban,Cardinal Creek-Springridge
5050170.03,0170.03,186,150.0,79.2,Suburban,Queenswood Heights North
5050125.04,0125.04,291,198.0,79.3,Suburban,Chapel Hill North-Willowbark
5050161.04,0161.04,196,142.5,79.3,Suburban,Bridlewood-Steeple Chase Dr
5050110.00,0110.00,169,116.0,79.4,Urban,Rockcliffe Park
5050055.00,0055.00,222,220.5,79.5,Urban,Sussex Dr-Bingham Park
5050033.02,0033.02,449,113.0,79.8,Urban,Westboro-Hampton Park
5050006.00,0006.00,487,165.0,79.8,Urban,Alta Vista
5050124.03,0124.03,277,253.0,80.2,Suburban,Hiawatha Park-Voyageurs Park
5050151.06,0151.06,345,163.0,80.9,Suburban,Stittsville South
5050140.04,0140.04,259,266.0,81.3,Suburban,Old Barrhaven West-Weybridge
5050057.00,0057.00,129,149.0,82.4,Urban,Lindenlea
5050033.01,0033.01,507,156.0,82.7,Urban,Westboro-Dovercourt
5050017.00,0017.00,333,230.0,83.1,Urban,Old Ottawa South-Brewer Park
5050043.00,0043.00,483,204.0,83.2,Urban,Hintonburg
5050049.00,0049.00,196,278.0,83.4,Urban,Centretown-Golden Triangle
5050170.08,0170.08,103,184.0,83.6,Suburban,Fallingbrook-Gardenway West
5050018.00,0018.00,431,237.0,83.9,Urban,Glebe-Lansdowne
5050032.02,0032.02,561,210.0,84.5,Urban,Laurentian View-Highland Park
5050036.00,0036.00,603,232.0,85.0,Urban,Glebe-Patterson Creek
5050034.00,0034.00,415,187.0,85.4,Urban,Parkdale-Civic Hospital
5050137.03,0137.03,158,92.5,85.7,Urban,Qualicum-Graham Park
5050019.00,0019.00,815,201.0,85.7,Urban,Glebe South-Dows Lake
5050016.00,0016.00,425,189.0,86.0,Urban,Rideau Gardens
5050047.00,0047.00,185,229.0,86.4,Urban,LeBreton Flats
5050044.00,0044.00,267,246.0,88.2,Urban,Island Park-Fisher Park
