vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
VAILTECH CORPORATION,1,1,1055588.9,1055588.9,0.00018,0.95029,1.0
KRONOS CANADIAN SYSTEMS INC,1,6,1053226.94,1053226.94,0.00018,0.95047,1.0
"ATLAS?APEX ROOFING (OTTAWA) INC,GODFREY ROOFING INC,ROOF TOPS ROOFING LTD",1,1,1050000.0,0.0,0.00018,0.95065,0.0
"ALTUS GROUP,USHER CAPORDELIS SEGUIN",1,1,1050000.0,0.0,0.00018,0.95083,0.0
"ALS CANADA LTD,BUREAU VERITAS CANADA (2019) INC,PARACEL LABORATORIES LTD",1,1,1050000.0,0.0,0.00018,0.95101,0.0
QUATROSENSE ENVIRONMENTAL LTD,1,1,1044772.36,0.0,0.00018,0.95119,0.0
"ONTARIO MEDICAL SUPPLY,SILVER SCRIPTS INC",1,1,1040382.8,0.0,0.00017,0.95136,0.0
MINISTRY OF FINANCE,5,7,1038433.2,1038433.2,0.00017,0.95153,1.0
HATCH LTD,1,2,1024972.0,1024972.0,0.00017,0.9517,1.0
"JWK UTILITIES AND SITE SERVICES LTD,W H MACSWEYN INC",1,1,1018320.0,0.0,0.00017,0.95187,0.0
IN?DEPTH CONTRACTING,2,2,1015622.14,0.0,0.00017,0.95204,0.0
O/A TLC EXTERIORS (10504408 CANADA INC),3,3,1007360.35,0.0,0.00017,0.95221,0.0
"NEPEAN KANATA LOCK AND DOOR SERVICE,BYTOWN LOCK INC,CANADIAN LOCK & SUPPLY LTD,GIRARD'S LOCK AND KEY,CITY LOCKSMITH LOCK & KEY SERVICE INC",1,1,1003580.0,0.0,0.00017,0.95238,0.0
"ALLIUM CONSULTING, C MIDDLETON COACHING, DENNERY RESOURCES INC (3492125 CANADA INC), ENRICHIA, ERNST & YOUNG, EXPERIENCE ADVISORS, INTERSOL, P2, PATWELL CONSULTING, PLEIAD CANADA, POSTIVIST GROUP, POWER HR, PRIMEBRIDGE CONSULTING, SAMSON HR, SAMSON & ASSOCIATES, STRATFORS, STRAT-OLOGY",1,1,1000000.0,0.0,0.00017,0.95255,0.0
"WEBBER INFRASTRUCTURE MANAGEMENT CA,MAXIMUM RENOVATION ETC,T G CARROLL CARTAGE LTD,CARP RD CONTRACTING",1,1,1000000.0,0.0,0.00017,0.95272,0.0
CORADIX TECHNOLOGY CONSULTING LTD,2,2,989675.0,0.0,0.00017,0.95289,0.0
BELLAI ALLIANCE CIVIL INC.,1,1,987208.86,0.0,0.00017,0.95306,0.0
FPS FIRE PROTECTION SERVICES,1,1,983371.67,0.0,0.00016,0.95322,0.0
FELIX TECHNOLOGY INC,1,2,977990.0,0.0,0.00016,0.95338,0.0
BABCO SALES LIMITED,1,1,977438.42,0.0,0.00016,0.95354,0.0
"417 BUS LINE LTD,VOYAGEUR TRAVEL SERVICES,FIRST STUDENT CANADA ULC,M L BRADLEY LTD,ROXBOROUGH BUS LINES LIMITED",1,1,961978.36,0.0,0.00016,0.9537,0.0
NCI COURIER SOLUTIONS INC,1,1,954490.43,0.0,0.00016,0.95386,0.0
BLUMETRIC ENVIRONMENTAL INC,23,23,953325.15,0.0,0.00016,0.95402,0.0
HOBIN ARCHITECTURE INCORPORATED,5,6,947195.64,57680.0,0.00016,0.95418,0.0609
QUALTRICS LLC,1,1,946079.26,946079.26,0.00016,0.95434,1.0
MEDIAPLUS ADVERTISING,9,9,945024.91,134830.0,0.00016,0.9545,0.1427
POWER TEK ELECTRICAL SERVICES INC,2,2,944600.0,0.0,0.00016,0.95466,0.0
PARKSMART INC,1,2,943395.0,943395.0,0.00016,0.95482,1.0
J WILSON PAVING,1,1,942039.73,0.0,0.00016,0.95498,0.0
"CRETE RYAN CONSTRUCTION,KURTIS ARMSTRONG CONTRACTING INC",1,1,940052.38,0.0,0.00016,0.95514,0.0
VIA RAIL CANADA INC,3,4,939485.18,939485.18,0.00016,0.9553,1.0
"CAMPBELL FORD SALES LTD,SURGENOR CHEVROLET BUICK GMC & CADILLAC OTTAWA,DONNELLY FLEET AND COMMERCIAL REPAIR",1,1,938180.0,0.0,0.00016,0.95546,0.0
"B G GORHAM CONSTRUCTION,JAKE'S LAWN CARE,MAURICE DESCHAMBAULT,PML CONTRACTING INC,WARNOCK EQUIPMENT SERVICES LTD",1,1,935359.5,0.0,0.00016,0.95562,0.0
KIMISTA HOLDINGS LTD,2,5,928976.25,0.0,0.00016,0.95578,0.0
ACG ENVIROCAN INC,3,4,919648.59,790323.59,0.00015,0.95593,0.8594
CARAHSOFT TECHNOLOGY CORP,1,2,918120.4,918120.4,0.00015,0.95608,1.0
GRANICUS CANADA HOLDINGS ULC,3,5,916388.68,146393.43,0.00015,0.95623,0.1598
MA INDEPENDENT BUILDING SERVICES,1,1,914864.47,0.0,0.00015,0.95638,0.0
RICOH CANADA INC.,2,2,914460.88,0.0,0.00015,0.95653,0.0
LWG ARCHITECTURAL INTERIORS INC,13,15,911094.51,66572.9,0.00015,0.95668,0.0731
THURBER ENGINEERING LTD.,11,12,910017.72,0.0,0.00015,0.95683,0.0
"CORNWALL GRAVEL CO LTD,THOMAS CAVANAGH CONSTRUCTION LTD",2,3,908279.51,0.0,0.00015,0.95698,0.0
"D&L CONTRACTING AND EQUIPMENT,SEBASTIEN ST LOUIS EXCAVATION",1,1,905057.31,0.0,0.00015,0.95713,0.0
SENER SES CANADA INC,2,2,902257.8,0.0,0.00015,0.95728,0.0
DAY-VIEW ELECTRIC INC,10,11,901991.8,0.0,0.00015,0.95743,0.0
"ABRAMS TOWING (1512081 ONTARIO LTD),SCRAP MY CAR INC (9755373 CANADA INC),CANADIAN TOWING EQUIPMENT INC,GERVAIS MOTORS LIMITED,MAYDAY TOWING (9376?6491 QUEBEC INC),OTTAWA METRO",1,1,900000.0,0.0,0.00015,0.95758,0.0
PRITCHARD ENGINEERING COMPANY LIMIT,2,2,898838.18,0.0,0.00015,0.95773,0.0
SI SYSTEMS PARTNERSHIP,1,1,896659.83,0.0,0.00015,0.95788,0.0
SEASON CARE INC,1,2,896642.84,0.0,0.00015,0.95803,0.0
POTTERS CANADA,2,3,896235.06,0.0,0.00015,0.95818,0.0
HYDRO OTTAWA,4,4,895766.41,895766.41,0.00015,0.95833,1.0
COUGHLIN AND ASSOCIATES LTD,2,4,889727.5,96300.0,0.00015,0.95848,0.1082
O/AS TILLINGS CONSTRUCTION & LANDSCAPING (11672398 CANADA LTD),1,2,884793.6,0.0,0.00015,0.95863,0.0
REGIONAL ELEVATOR,2,2,880560.0,0.0,0.00015,0.95878,0.0
BIOCHEM ENVIRONMENTAL SOLUTIONS INC,1,1,874603.32,0.0,0.00015,0.95893,0.0
SUPER SAVE TOILET RENTALS INC,1,3,869229.31,0.0,0.00015,0.95908,0.0
LDC PRECISION CONCRETE INC,1,2,865989.74,0.0,0.00015,0.95923,0.0
DLS TECHNOLOGY CORPORATION,1,1,857459.0,0.0,0.00014,0.95937,0.0
EASTWAY COLLISION,4,4,853172.54,0.0,0.00014,0.95951,0.0
SK SHEET METAL,1,1,846635.9,0.0,0.00014,0.95965,0.0
ELECTRICAL SAFETY AUTHORITY,2,4,844633.13,844633.13,0.00014,0.95979,1.0
WABTEC TRANSPORTATION CA INC,1,1,843150.0,843150.0,0.00014,0.95993,1.0
CONTINENTAL BATTERY SYSTEMS,1,2,833574.89,0.0,0.00014,0.96007,0.0
AINLEY GRAHAM AND ASSOCIATES LTD,11,11,832205.86,0.0,0.00014,0.96021,0.0
ERAMOSA ENGINEERING INC,2,3,816049.61,0.0,0.00014,0.96035,0.0
COLIZZA BRUNI ARCHITECTURE INC,5,6,812234.01,0.0,0.00014,0.96049,0.0
MORLEY HOPPNER INC.,1,1,810600.1,0.0,0.00014,0.96063,0.0
T P CRAWFORD LTD,2,2,808131.6,0.0,0.00014,0.96077,0.0
VIPOND FIRE PROTECTION INC,3,3,803376.0,803376.0,0.00013,0.9609,1.0
CAPITAL DODGE CHRYSLER LTD,3,3,800854.0,685177.0,0.00013,0.96103,0.8556
"LIBRARY OUTFITTERS,MONTEL SMARTSPACE OTTAWA INC",1,1,800000.0,0.0,0.00013,0.96116,0.0
IRON HORSE CORPORATION,2,2,791533.59,0.0,0.00013,0.96129,0.0
REALDECOY INC,2,6,789377.0,789377.0,0.00013,0.96142,1.0
PALMER ENVIRONMENTAL CONSULTING,5,5,788625.35,43225.0,0.00013,0.96155,0.0548
SANI-SOL INC,2,2,787642.65,0.0,0.00013,0.96168,0.0
ROOF TOPS ROOFING LTD,13,13,786203.1,44048.5,0.00013,0.96181,0.056
PENINSULA PLASTICS LTD,2,4,786120.94,0.0,0.00013,0.96194,0.0
ACCEO SOLUTIONS INC,1,1,783450.3,0.0,0.00013,0.96207,0.0
STRADA360 INC.,6,9,774018.21,774018.21,0.00013,0.9622,1.0
TANGENTIA INC,1,2,773514.51,0.0,0.00013,0.96233,0.0
DSQ PLUMBING & ENVIRONMENTAL LTD,2,2,769843.32,0.0,0.00013,0.96246,0.0
"MAURICE YELLE EXCAVATION LTD,D&L CONTRACTING AND EQUIPMENT",1,1,766499.94,0.0,0.00013,0.96259,0.0
"ARIVA DIV DOMTAR INC,SPICERS",1,1,762822.25,0.0,0.00013,0.96272,0.0
KIM FIORENTINO,1,1,760000.0,760000.0,0.00013,0.96285,1.0
"PENINSULA CONSTRUCTION INC,O/A HUGHSON FENCING AND GUIDERAIL (535276 ONTARIO INC)",1,1,759111.6,0.0,0.00013,0.96298,0.0
NAK DESIGN STRATEGIES/STLA,5,5,755869.5,0.0,0.00013,0.96311,0.0
RECOCHEM,2,2,755010.0,0.0,0.00013,0.96324,0.0
CSV ARCHITECTS INC,7,10,750988.56,0.0,0.00013,0.96337,0.0
"DAVID BERMAN COMMUNICATIONS, ACESSIBIL-IT INC., CURE FOR GRAVITY LTD., T-BASE COMMUNICATIONS INC., ACCESSIBILITY PARTNERS, CRAWFORD TECHNOLOGIES.",1,1,750000.0,0.0,0.00013,0.9635,0.0
"CUMMINS CANADA ULC,CITY VIEW BUS SALES & SERVICE LTD.",1,1,750000.0,0.0,0.00013,0.96363,0.0
SEWE CONSTRUCTION SERVICES,7,9,742992.45,0.0,0.00012,0.96375,0.0
AMACO CONSTRUCTION EQUIPMENT LTD,2,2,742500.0,0.0,0.00012,0.96387,0.0
ULTRACLEAR ENGINE FLUIDS INC,1,1,740070.6,0.0,0.00012,0.96399,0.0
GILMORE DOCULINK,1,3,738202.66,0.0,0.00012,0.96411,0.0
GHD LIMITED,12,12,732613.18,0.0,0.00012,0.96423,0.0
THE WOOD SOURCE INC.,1,1,724490.42,0.0,0.00012,0.96435,0.0
ATTA ELEVATORS OTTAWA INC,1,1,721380.0,0.0,0.00012,0.96447,0.0
CAMFIL CANADA INC,1,1,716510.3,0.0,0.00012,0.96459,0.0
NORS CONSTRUCTION EQUIPMENT CA ST LP,1,1,714650.0,0.0,0.00012,0.96471,0.0
"O/A G&L AUTOMOTIVE (459826 ONTARIO LTD), CANADIAN TOWING (2695885 ONTARIO INC), GERVAIS MOTORS LIMITED,OTTAWA METRO TOWING AND RECOVERY IN, SCRAP MY CAR INC (9755373 CANADA INC)",1,1,713564.91,0.0,0.00012,0.96483,0.0
SURGENOR CHEVROLET BUICK GMC &,2,6,710792.0,710792.0,0.00012,0.96495,1.0
"JAKE'S LAWN CARE,VS LANDSCAPE GROUP",1,1,710668.48,0.0,0.00012,0.96507,0.0
CALLON DIETZ INCORPORATED ONTARIO,13,13,708955.7,0.0,0.00012,0.96519,0.0
D&G LANDSCAPING (2015) INC,4,5,708407.24,0.0,0.00012,0.96531,0.0
R COURIER,2,3,704579.25,0.0,0.00012,0.96543,0.0
HDR CORPORATION,4,4,704117.83,0.0,0.00012,0.96555,0.0
SQM JANITORIAL SERVICES INC,2,2,703839.41,0.0,0.00012,0.96567,0.0
CLIMATE WORKS (1799541 ONTARIO INC),1,1,703230.05,0.0,0.00012,0.96579,0.0
LOTOWATER TECHNICAL SERVICES INC,3,3,699954.4,0.0,0.00012,0.96591,0.0
BROOK RESTORATION LTD,1,1,698500.0,0.0,0.00012,0.96603,0.0
ROGERS COMMUNICATION CANADA INC,3,3,697733.52,0.0,0.00012,0.96615,0.0
SANI SOL INC,2,2,694036.74,0.0,0.00012,0.96627,0.0
PLAN GROUP INC,1,1,691614.0,0.0,0.00012,0.96639,0.0
VITALITY LANDSCAPING INC,7,7,691422.65,0.0,0.00012,0.96651,0.0
MAGLIN SITE FURNITURE INC,4,4,690463.5,690463.5,0.00012,0.96663,1.0
BIO ACTION NATURE INC,2,3,690234.47,0.0,0.00012,0.96675,0.0
"TRADEMARK SAFETY AND RESCUE LTD,MULTI-TREK LTD,MAGELLAN ENGINEERING CONSULTANTS INC",1,1,690000.0,0.0,0.00012,0.96687,0.0
SOUTHBANK DODGE CHRYSLER LTD,5,6,689903.74,585605.4,0.00012,0.96699,0.8488
CANADA PAVING &,2,2,680865.98,0.0,0.00011,0.9671,0.0
RAYMOND CHABOT GRANT THORNTON,9,11,678985.5,0.0,0.00011,0.96721,0.0
CONTINENTAL CARBON GROUP INC,5,5,677378.0,0.0,0.00011,0.96732,0.0
"RUSH TRUCK CENTRES OF CANADA LIMITE,PRECISION DIESEL,FRANCIS CANADA TRUCK CENTRE INC,CITY VIEW BUS SALES & SERVICE LTD.,CUMMINS CANADA ULC",1,1,675000.0,0.0,0.00011,0.96743,0.0
HP ENGINEERING,8,8,674422.79,0.0,0.00011,0.96754,0.0
ABD IRONWORLD,3,3,672276.06,0.0,0.00011,0.96765,0.0
"ART WOODS OFFICE SUPPLIES LTD,BATTERIES DIXON INC",1,1,671044.49,0.0,0.00011,0.96776,0.0
IMPIRICA INC,2,2,670800.0,670800.0,0.00011,0.96787,1.0
"CORNWALL GRAVEL CO LTD,LAFARGE CANADA INC,RW TOMLINSON LTD,THOMAS CAVANAGH CONSTRUCTION LTD",1,3,668600.22,0.0,0.00011,0.96798,0.0
T.Y.LIN INTERNATIONAL CANADA INC,5,6,666490.1,0.0,0.00011,0.96809,0.0
INFOSTEAD TECHNOLOGIES (8965161 CANADA INC),1,1,666000.0,0.0,0.00011,0.9682,0.0
ASMARA MAINTENANCE LTD,2,2,665197.72,0.0,0.00011,0.96831,0.0
CAMPBELL SCIENTIFIC (CANADA) CORP.,1,2,664710.82,664710.82,0.00011,0.96842,1.0
CACHE CONSULTING CORPORATION,1,1,664200.0,0.0,0.00011,0.96853,0.0
A J STONE CO LTD,3,3,661988.7,0.0,0.00011,0.96864,0.0
GE INTELLIGENT PLATFORMS CANADA,2,3,660390.83,660390.83,0.00011,0.96875,1.0
"FLYNN CANADA LTD, GRIZZLIE GLASS, HONEY GLASS AND WINDOW LTD",1,1,660000.0,0.0,0.00011,0.96886,0.0
T.G. BAKER AMERICAS INC,2,2,659921.0,659921.0,0.00011,0.96897,1.0
CORNWALL GRAVEL CO LTD,4,4,650830.87,0.0,0.00011,0.96908,0.0
"ENHANCED FACILITY SERVICES CLEANING,RAPID CLEANERS (4095839 CANADA INC)",1,1,649476.53,0.0,0.00011,0.96919,0.0
DW BUILDING RESTORATION SERVICES IN,2,2,645961.97,0.0,0.00011,0.9693,0.0
ERNST AND YOUNG,6,6,643340.0,526200.0,0.00011,0.96941,0.8179
"ASL AGRODRAIN LIMITED,KURTIS ARMSTRONG CONTRACTING INC,POLANE EXCAVATION,RW TOMLINSON LTD,REMI PERRON,STRATHMAR TRENCHING LTD",1,1,640271.2,0.0,0.00011,0.96952,0.0
"TAMAX (1995653 ONTARIO INC),AL'S FENCING INC,B G GORHAM CONSTRUCTION,JAKE'S LAWN CARE,MAURICE DESCHAMBAULT,WARNOCK EQUIPMENT SERVICES LTD",1,1,636327.8,0.0,0.00011,0.96963,0.0
RECRUITING IN MOTION (8332886 CANADA INC.),1,1,635040.0,0.0,0.00011,0.96974,0.0
SECUR FIRE PROTECTION,2,2,634823.0,0.0,0.00011,0.96985,0.0
CROLLA CONSTRUCTION CORP,2,2,633944.3,0.0,0.00011,0.96996,0.0
MUNICIPAL EQUIPMENT (2430174 ONTARIO INC.),3,3,633943.23,633943.23,0.00011,0.97007,1.0
NOVA VISUAL PRODUCTS,2,2,630057.36,0.0,0.00011,0.97018,0.0
MESSA COMPUTING,1,1,630000.0,0.0,0.00011,0.97029,0.0
"AL'S FENCING INC,WARNOCK EQUIPMENT SERVICES LTD,CTM SWEEPING CO",1,1,629192.5,0.0,0.00011,0.9704,0.0
SLBC INC,1,1,626722.17,0.0,0.0001,0.9705,0.0
ROGERS PAYMENT CENTRE,1,1,624359.89,0.0,0.0001,0.9706,0.0
TAB PRODUCTS OF CANADA CO,2,2,621924.96,25000.0,0.0001,0.9707,0.0402
EMCO CORPORATION,2,2,618208.4,0.0,0.0001,0.9708,0.0
THE GOLDEN CAR CORPORATION o/a HEIM,2,3,615077.31,0.0,0.0001,0.9709,0.0
MIL MAR CONTRACTORS LTD,12,12,614072.6,0.0,0.0001,0.971,0.0
CAUSEWAY WORK CENTRE,2,2,613136.52,401406.72,0.0001,0.9711,0.6547
TRANSPORTATION RESOURCE,1,2,611835.01,611835.01,0.0001,0.9712,1.0
KROON ELECTRIC CORP,3,3,611793.0,27450.0,0.0001,0.9713,0.0449
NUTTALL WELDING AND FABRICATION,9,9,604366.14,49263.16,0.0001,0.9714,0.0815
"SCRAP MY CAR INC (9755373 CANADA INC),CANADIAN TOWING EQUIPMENT INC,GERVAIS MOTORS LIMITED,OTTAWA METRO TOWING AND RECOVERY IN, MAYDAY TOWING (9376- 6491 QUEBEC INC)",1,1,600000.0,0.0,0.0001,0.9715,0.0
"BRIDGECAST INC,DAVIDSON VIOLETTE & ASSOCIATES INC,FLEMING COMMUNICATIONS INC",1,1,600000.0,0.0,0.0001,0.9716,0.0
"A. ROHLING CONSTRUCTION SERVICES INC., MARWOOD HOMES INC., K. JOLY CONTRACTING INC.",1,1,600000.0,0.0,0.0001,0.9717,0.0
"MR LUBE F & K TRUDEL ENTERPRISES IN,K&S KELLY TIRE SERVICE INC,SOUTHBANK DODGE CHRYSLER LTD,MYERS-ORLEANS CHEV-BUICK-GMC,JIM KEAY,MYERS CHEV OLDS CADILLAC INC.,MYERS KANATA CHEV BUICK GMC,MYERS MANOTICK DODGE JEEP RAM,CAPITAL DODGE CHRYSLER LTD,CAMPBELL FORD SALES LTD,ORLEANS DODGE CHRYSLER INC",1,1,600000.0,0.0,0.0001,0.9718,0.0
OTTAWA METRO TOWING AND RECOVERY IN,1,1,598000.0,0.0,0.0001,0.9719,0.0
JOE JOHNSON EQUIPMENT INC,1,1,593604.0,593604.0,0.0001,0.972,1.0
BRIDGESTONE CANADA INC,2,3,590162.6,0.0,0.0001,0.9721,0.0
JD BARNES LTD,10,10,588747.3,0.0,0.0001,0.9722,0.0
INGIMUNDSON CONSTRUCTION LTD.,1,1,583935.0,0.0,0.0001,0.9723,0.0
KONICA MINOLTA BUSINESS SOLUTION,1,1,583703.31,0.0,0.0001,0.9724,0.0
"OTTAWA D SQUARED CONSTRUCTION LTD,P MUNRO GROUP INC.,MOPRI CONSTRUCTION INC,LES PARISIEN CONSTRUCTION LTD,STRADA CONSTRUCTION GROUP INC.",2,2,582500.0,0.0,0.0001,0.9725,0.0
LAFARGE CANADA INC,6,7,579650.09,0.0,0.0001,0.9726,0.0
"WARNOCK EQUIPMENT SERVICES LTD,MIKE MORRIS EQUIPMENT RENTALS INC,CARP RD CONTRACTING,J W BASTIAN CONTRACTING INC,ROBERT GOURLAY CARTAGE,MCWILLIAMS CONSTRUCTION LIMITED,JOSH LASALLE CONSTRUCTION,GERRY CREPIN CARTAGE LTD, TER MOR ENTERPRISES (1470581 ONTARIO INC)",1,1,574632.0,0.0,0.0001,0.9727,0.0
PREVOST A DIVISION OF VOLVO GROUP,3,3,566906.18,55357.26,9e-05,0.97279,0.0976
QLOGITEK,1,1,554767.83,0.0,9e-05,0.97288,0.0
JA LARUE INC,1,1,554500.02,0.0,9e-05,0.97297,0.0
CONNEX TELE COMMUNICATIONS INC,2,4,553894.65,553894.65,9e-05,0.97306,1.0
HTS ENGINEERING LTD,5,5,550080.95,519330.95,9e-05,0.97315,0.9441
"WEBBER INFRASTRUCTURE MANAGEMENT CA,BEACON LITE (OTTAWA) LTD,ARX FENCING & LOGISTICS INC",1,1,550000.0,0.0,9e-05,0.97324,0.0
ZAMBONI COMPANY LTD,1,2,549750.0,0.0,9e-05,0.97333,0.0
STIFF SENTENCES INC,7,7,547913.55,0.0,9e-05,0.97342,0.0
GRC ARCHITECTS INC,5,7,547343.15,0.0,9e-05,0.97351,0.0
JUTZI WATER TECHNOLOGIES INC,1,1,547200.0,0.0,9e-05,0.9736,0.0
VSF WRAP,1,1,546893.55,0.0,9e-05,0.97369,0.0
JAMROCK LTD,1,1,546341.4,0.0,9e-05,0.97378,0.0
NORMANDIN BEAUDRY ACTUAIRES,1,1,546237.44,0.0,9e-05,0.97387,0.0
IPSS INC,1,2,543483.02,0.0,9e-05,0.97396,0.0
ADOR TECH INC,2,2,543444.0,0.0,9e-05,0.97405,0.0
FISHBURN SHERIDAN,11,11,541199.74,0.0,9e-05,0.97414,0.0
COVENTRY CONNECTIONS,1,1,540000.0,540000.0,9e-05,0.97423,1.0
"TAMAX (1995653 ONTARIO INC),AL'S FENCING INC,CTM SWEEPING CO,MAURICE DESCHAMBAULT,WARNOCK EQUIPMENT SERVICES LTD",1,1,539675.1,0.0,9e-05,0.97432,0.0
THOMPSON TECHNOLOGIES,3,3,537702.0,537702.0,9e-05,0.97441,1.0
POINTCLICKCARE TECHNOLOGIES INC.,1,2,532407.09,532407.09,9e-05,0.9745,1.0
DATA COMMUNICATIONS,5,5,532128.42,464361.47,9e-05,0.97459,0.8726
OPEN STORAGE SOLUTIONS,2,2,530100.7,0.0,9e-05,0.97468,0.0
WGD CONSULTING INC.,1,2,527969.0,527969.0,9e-05,0.97477,1.0
SIEMENS MOBILITY LIMITED,4,4,527943.9,527943.9,9e-05,0.97486,1.0
ARJO CANADA INC,3,4,524797.66,127597.38,9e-05,0.97495,0.2431
THERMO KING OF OTTAWA 1985 LTD,2,2,516892.8,485003.8,9e-05,0.97504,0.9383
PRESTIGE DESIGN AND CONSTRUCTION LTD,1,1,510669.58,0.0,9e-05,0.97513,0.0
JAMES B LENNOX AND ASSOCIATES,7,8,510376.99,0.0,9e-05,0.97522,0.0
A & B PAVING CORP,7,7,509097.99,0.0,9e-05,0.97531,0.0
WSP E&I CANADA LTD,7,8,508431.18,110909.0,9e-05,0.9754,0.2181
TELEFLEX MEDICAL CANADA INC,1,1,501510.5,501510.5,8e-05,0.97548,1.0
ATLAS-APEX ROOFING (OTTAWA) INC,3,3,500456.83,0.0,8e-05,0.97556,0.0
"IN DEPTH CONTRACTING,P MUNRO GROUP INC.",1,1,500000.0,0.0,8e-05,0.97564,0.0
ECO TECHNOLOGIES LTD,2,3,499140.1,499140.1,8e-05,0.97572,1.0
RBB INNOVATIONS LTD,2,2,497024.73,0.0,8e-05,0.9758,0.0
CHRISTIE LITES SALES,1,1,491731.49,0.0,8e-05,0.97588,0.0
GOLDER ASSOCIATES,3,3,491680.0,0.0,8e-05,0.97596,0.0
RAYMOND AND ASSOCIATES ROOFING INC,2,2,491077.6,0.0,8e-05,0.97604,0.0
FVB ENERGY INC,2,2,490699.66,0.0,8e-05,0.97612,0.0
REGO CONSULTING CORPORATION,2,2,485473.0,0.0,8e-05,0.9762,0.0
TOMLINSON ENVIRONMENTAL SERVICE LTD,2,2,482366.52,0.0,8e-05,0.97628,0.0
"A ROHLING CONSTRUCTION SERVICES INC,BRADLEY'S LANDSCAPING INC,D AND H FENCING",1,1,480000.0,0.0,8e-05,0.97636,0.0
MARANT CONSTRUCTION LIMITED,1,1,479600.0,0.0,8e-05,0.97644,0.0
GREELY SAND AND GRAVEL,2,2,478416.0,0.0,8e-05,0.97652,0.0
GEI CONSULTANTS LTD.,2,2,477823.3,248960.0,8e-05,0.9766,0.521
BDO CANADA LLP,4,5,469329.9,0.0,8e-05,0.97668,0.0
LES TOITURES RAYMOND & ASSOC INC,1,2,467226.58,0.0,8e-05,0.97676,0.0
COLDFRONT LABS INC,2,2,466846.6,0.0,8e-05,0.97684,0.0
ETS EXPRESS TOWING SERVICE CORP,1,1,465750.61,0.0,8e-05,0.97692,0.0
PLANIT SEARCH INC,1,1,463710.0,0.0,8e-05,0.977,0.0
PREMIER NORTH LTD,1,1,463338.1,0.0,8e-05,0.97708,0.0
QUEST SOFTWARE CANADA INC,1,1,463165.44,463165.44,8e-05,0.97716,1.0
THE VIVID GROUP INC,3,3,462172.21,0.0,8e-05,0.97724,0.0
TRANSIT (9280-0366 QUEBEC INC.),1,1,462000.0,462000.0,8e-05,0.97732,1.0
ORLEANS QUALITY CLEANING,1,1,460894.14,0.0,8e-05,0.9774,0.0
"RW TOMLINSON LTD,GEO W DRUMMOND LTD,GERRY CREPIN CARTAGE LTD",2,2,458152.82,0.0,8e-05,0.97748,0.0
VANDERWESTEN & RUTHERFORD ASSOC INC,9,9,457487.9,0.0,8e-05,0.97756,0.0
MAURICE YELLE EXCAVATION LTD,3,4,456383.9,0.0,8e-05,0.97764,0.0
"OTTAWA D SQUARED CONSTRUCTION LTD,P MUNRO GROUP INC.,LES PARISIEN CONSTRUCTION LTD,MOPRI CONSTRUCTION INC",1,1,453699.18,0.0,8e-05,0.97772,0.0
"AECOM CANADA ULC, AINLEY GRAHAM & ASSOCIATES LIMITED, ARCADIS PROF SERVICES (CANADA) INC, ATKINSRÉALIS CANADA INC, CIMA CANADA INC, DILLON CONSULTING LIMITED, EGIS CANADA, ENGLOBE CORP, EXP SERVICES INC, GHD LIMITED, GHEC, HDR CORPORATION, J L RICHARDS & ASSOCIATES LTD, MOBYCON, MORR TRANSPORTATION CONSULTING LTD, NOVATECH ENGINEERING CONSULTANTS LTD, PARSONS INC, R A MALATEST & ASSOCIATES LTD, R V ANDERSON ASSOCIATES LTD, RIDESHARK CORPORATION, ROBINSON CONSULTANTS INC, STANTEC CONSULTING LTD, TRUE NORTH SAFETY GROUP, WSP CANADA INC",1,1,450000.0,0.0,8e-05,0.9778,0.0
"IPL NORTH AMERICA INC,ORBIS CANADA LTD",1,2,448245.23,0.0,8e-05,0.97788,0.0
CARDINAL HEALTH CANADA INC,3,3,448237.54,0.0,8e-05,0.97796,0.0
DSM GEODATA LTD,3,4,447231.1,0.0,7e-05,0.97803,0.0
"A J STONE CO LTD,M&L SUPPLY, FIRE & SAFETY (3635112 CANADA INC)",1,1,445086.19,0.0,7e-05,0.9781,0.0
THE AIRBORNE SENSING CORPORATION,1,2,444878.42,0.0,7e-05,0.97817,0.0
STAR LIFE FIRE AND,2,6,443659.89,0.0,7e-05,0.97824,0.0
GANNETT FLEMING CANADA ULC,1,1,442216.98,442216.98,7e-05,0.97831,1.0
CMAX OTTAWA,2,2,440988.86,0.0,7e-05,0.97838,0.0
SUSE SOFTWARE SOLUTIONS CANADA ULC,1,3,437659.77,437659.77,7e-05,0.97845,1.0
UNIFIRST CANADA LTD,1,2,436791.37,53635.81,7e-05,0.97852,0.1228
BRINKMAN & ASSOCIATES,2,2,436364.0,0.0,7e-05,0.97859,0.0
QUADIENT CANADA LTD,2,2,433330.3,0.0,7e-05,0.97866,0.0
MODERN NIAGARA OTTAWA INC,4,5,432810.25,137696.0,7e-05,0.97873,0.3181
RUHLAND AND ASSOCIATES LTD,7,7,432121.17,0.0,7e-05,0.9788,0.0
GLOBAL RENTAL CANADA ULC,3,5,432038.5,406218.5,7e-05,0.97887,0.9402
ELIOT ROOFING LTD.,2,2,431255.0,0.0,7e-05,0.97894,0.0
SPECIALTY FURNITURE INC,5,5,428993.0,0.0,7e-05,0.97901,0.0
