vendor,contracts,actions,total_amount,noncompetitive_amount,share_of_total,cumulative_share,noncompetitive_share
"PETERSEN CUSTOM FARMING (2342152 ONTARIO INC),PALAH LOGISTICS(5010608 ONTARIO INC),MALWOOD (9135545 CANADA INC),(CRETE RYAN CONSTRUCTION) 927882 ONT INC,(O/A EARTHMOVERS)14023358 CANADA CORP,AURELE LACROIX EQUIPMENT RENTALS LTD,B G GORHAM CONSTRUCTION INC,BRUCE HODGINS EXCAVATION (1550697 ONTARIO INC),CHARLES MCLELLAN,CHRIS DONALDSON,D&L CONTRACTING AND EQUPMENT LTD,DAN COADY EXCAVATING INC,DAN O'GRADY EQUIPMENT,DAVE WRIGHT EXCAVATING LTD,DRAINAGE DICAIRE INC,GEORGE W. DRUMMOND LTD.,GERRY CREPIN CARTAGE LIMITED,GLENN WRIGHT EXCAVATING,GOLDIE MOHR LTD,GREELY SAND & GRAVEL,J. WILSON PAVING,JASON'S LANDSCAPING & SNOWPLOWING INC,LAPOINTE DRAINAGE LTD,LOCATION DE GRUE GAETAN ROY LTEE,M. DAVIS LANDSCAPE & DESIGN INC,MAURICE YELLE EXCAVATION LTD,MCWILLIAMS CONSTRUCTION LIMITED,MIKE MORRIS EQUIPMENT RENTALS INC,MILLLERS TRUCKING AND EXCAVATION LTD,OSGOODE SAND AND GRAVEL LTD,OTTAWA CRANE RENTAL O/A BARRIE CRANE RENTAL LTD.,130247 CANADA INC (INTER CITY PAVING),RABB CONSTRUCTION LTD,REGIONAL CRANE RENTALS LTD,ROBERTO LAPPA EXCAVATION LTD,ROBERTSON RENT-ALL,S.W. FARRELL & SONS (1979) LTD,SHADE GROUP INC,TLC EXTERIORS (10504408 CANADA INC),TMK TREE AND HEDGE INC,UNITED RENTALS OF CANADA INC,VANS INDUSTRIAL SERVICES",1,1,8000000.0,0.0,0.00134,0.78506,0.0
"RW TOMLINSON LTD,GEO W DRUMMOND LTD,GERRY CREPIN CARTAGE LTD,GOLDIE MOHR LTD",1,1,7993464.82,0.0,0.00134,0.7864,0.0
ACCEO SOLUTIONS,1,1,7967981.1,0.0,0.00133,0.78773,0.0
LAURENT LEBLANC LIMITED,17,17,7962193.56,0.0,0.00133,0.78906,0.0
"GREEN WORKS CONTRACTING INC,KURTIS ARMSTRONG CONTRACTING INC,PRODIGY PROPERTY MAINTENANCE INC,THOMAS CAVANAGH CONSTRUCTION LTD",1,1,7955675.68,0.0,0.00133,0.79039,0.0
BIBBY STE CROIX,1,1,7922205.8,0.0,0.00133,0.79172,0.0
BRANDT TRACTOR LTD,7,11,7886860.7,5090193.2,0.00132,0.79304,0.6454
P MUNRO GROUP INC.,19,20,7782491.64,0.0,0.0013,0.79434,0.0
JACOBS CONSULTANCY CANADA INC,18,22,7616010.83,85200.0,0.00128,0.79562,0.0112
STRYKER CANADA ULC,6,8,7519049.74,4905616.4,0.00126,0.79688,0.6524
NORTHERN BUSINESS INTELLIGENCE (3043176 NOVA SCOTIA LTD),1,1,7400000.0,0.0,0.00124,0.79812,0.0
MYTICAS CONSULTING LTD,9,12,7150505.18,0.0,0.0012,0.79932,0.0
BURNS LANDSCAPE MAINTENANCE,7,8,6990456.73,0.0,0.00117,0.80049,0.0
PCL CONSTRUCTORS CANADA INC,1,1,6908315.99,0.0,0.00116,0.80165,0.0
360 ADVANCED SERCURITY CORPORATION,1,1,6900000.0,0.0,0.00116,0.80281,0.0
NEPTUNE TECHNOLOGY GROUP CANADA LTD,5,6,6863709.9,310741.4,0.00115,0.80396,0.0453
STRONGCO EQUIPMENT,3,4,6760175.51,0.0,0.00113,0.80509,0.0
